A1,A3,A4,A7,A8,A11,B1,B2,sqgh,sqws,sqwm,sqmz,gxwl,tctj,wygl,abjk,yey,yly,dxcs,sqylz,sqhds,llgx,shcy,zzld,zzqk,sqgx,satisfaction
1,5,2,1,2,38,34,2,4,3,5,5,4,5,2,4,5,2,2,4,5,4,4,4,4,4,4
1,5,3,1,1,10,60,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,5,3,1,2,90,30,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
1,1,2,3,4,71,60,2,3,3,4,3,1,3,3,4,2,4,2,5,5,5,5,5,5,5,5
2,5,2,2,2,66,60,2,5,3,3,3,1,2,1,3,3,3,3,3,4,4,3,3,3,3,3
2,1,1,2,1,72,60,2,3,4,5,5,4,4,1,5,4,3,1,4,4,5,5,5,5,5,5
2,1,1,2,2,77,62,2,4,3,4,3,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4
1,5,3,1,1,38,20,2,2,2,4,4,1,2,1,3,4,3,2,4,4,3,3,3,3,4,2
1,5,3,2,2,36,30,2,3,2,3,3,1,2,1,3,3,3,1,5,4,3,3,3,3,3,4
1,4,1,1,5,69,30,2,4,3,4,4,4,3,3,4,3,3,1,4,4,3,3,4,3,3,4
2,1,3,1,5,70,46,2,4,4,4,4,1,3,4,3,3,1,1,3,4,3,4,4,3,4,4
2,5,2,2,4,63,60,2,5,3,3,5,5,4,4,4,1,5,1,5,5,3,4,5,4,5,5
2,5,3,2,2,42,40,2,1,1,3,3,2,1,1,2,2,1,1,3,1,1,1,1,1,1,3
1,1,6,3,2,105,10,2,4,4,4,4,4,4,4,4,2,2,3,3,3,3,3,3,3,3,4
1,5,2,1,2,40,15,2,2,2,2,2,3,1,2,2,1,1,2,2,1,2,2,2,2,2,3
1,1,3,2,3,87,19,2,5,5,5,5,5,3,1,4,5,1,4,5,4,5,5,5,5,5,5
1,5,5,3,2,120,24,2,2,3,3,2,3,3,2,4,1,1,1,3,2,3,3,3,4,4,5
1,1,5,3,2,130,18,2,4,1,5,5,5,1,4,5,1,1,1,1,1,5,5,5,5,5,5
1,1,4,3,5,90,12,2,4,4,4,4,4,4,3,4,1,1,1,3,3,4,4,4,4,4,4
1,5,2,2,4,90,20,2,3,3,4,4,4,3,3,4,1,1,1,2,4,4,5,4,5,4,4
1,5,2,2,2,90,16,2,4,4,4,4,4,4,3,4,2,2,4,3,4,4,3,3,3,3,3
2,5,1,1,5,90,16,2,4,4,4,4,4,4,4,2,2,3,3,3,4,3,3,3,3,3,4
1,1,3,2,3,108,10,2,4,4,4,4,4,3,2,3,2,2,3,3,3,3,3,3,3,2,3
2,5,2,2,7,90,16,2,4,4,4,4,4,3,3,3,1,1,1,4,4,3,3,3,3,3,3
2,5,2,1,5,90,15,2,3,3,3,3,4,3,2,3,1,1,1,4,4,4,4,4,4,4,3
1,1,2,2,4,90,20,2,4,4,4,4,3,3,4,4,1,1,1,3,3,3,3,3,3,3,4
2,5,3,1,2,89,20,2,2,2,3,3,3,2,2,2,2,2,3,3,2,3,2,3,2,2,3
2,5,2,1,2,60,22,2,4,4,4,4,4,3,3,4,2,2,3,4,4,3,4,4,4,4,4
2,5,1,1,1,90,22,2,4,4,4,4,4,4,2,4,4,4,4,4,3,3,4,4,4,4,4
1,1,4,2,4,108,12,2,5,4,5,5,5,5,5,5,2,2,2,5,5,5,5,5,5,5,5
1,5,4,3,4,90,17,2,3,3,4,4,3,3,2,2,1,1,1,3,4,4,5,5,3,3,3
2,1,2,1,1,90,30,2,5,5,5,5,5,4,3,5,1,2,2,3,3,3,3,3,3,3,4
2,5,3,2,2,90,18,2,3,4,3,3,4,3,2,4,2,2,2,3,2,4,4,4,3,4,4
2,5,3,1,2,90,16,2,4,4,4,4,4,3,2,4,2,2,3,3,2,4,4,4,4,3,5
1,1,4,2,5,90,20,2,3,3,3,3,4,4,2,2,2,2,3,3,3,3,4,5,4,5,4
1,5,1,2,5,90,48,2,5,5,5,5,5,3,3,4,1,1,3,5,5,4,4,5,5,5,5
1,5,2,1,4,90,16,2,5,5,5,5,5,4,1,5,1,1,1,3,5,5,5,5,5,5,5
2,1,3,1,2,80,22,2,5,5,5,5,5,4,1,5,1,1,1,3,5,5,5,5,5,5,5
2,1,3,1,3,80,22,2,5,5,5,5,5,3,1,5,1,1,1,4,5,5,5,5,5,5,5
2,5,3,1,3,28,45,2,3,2,3,3,2,2,2,2,2,3,1,3,2,3,3,3,3,3,4
2,5,3,1,2,90,20,2,5,4,4,4,4,3,3,5,2,2,3,3,4,3,2,3,4,4,5
2,5,3,2,2,90,10,2,5,5,5,5,4,4,4,4,5,5,5,5,5,4,4,5,4,5,4
1,5,2,2,2,90,20,2,5,5,5,3,5,3,3,4,2,2,2,4,4,3,5,5,5,5,5
2,1,4,2,4,86,8,2,5,5,5,1,3,3,3,4,2,2,2,4,4,4,4,5,3,5,4
2,5,2,1,3,90,20,2,4,3,4,3,3,1,1,2,1,1,1,4,4,3,4,4,4,4,3
2,5,3,2,3,80,25,2,5,5,5,5,5,2,2,5,2,1,1,2,4,4,4,3,5,4,5
2,1,1,3,2,40,25,2,3,5,4,4,2,3,2,5,1,1,3,3,3,3,3,3,3,3,3
1,5,2,3,2,40,25,2,3,3,3,3,4,4,5,3,2,2,3,3,3,3,3,4,4,4,5
2,5,1,1,3,90,14,2,3,3,3,3,3,3,3,3,1,1,4,4,4,3,3,3,3,3,3
2,5,1,2,4,90,20,2,5,5,5,5,5,5,3,3,3,3,3,5,5,4,5,5,5,4,5
1,5,3,0,6,100,6,2,5,5,5,5,5,3,5,5,5,3,3,5,5,5,5,5,5,5,5
1,1,2,2,6,60,40,2,4,3,5,5,5,3,3,3,4,2,2,4,3,4,3,4,4,4,1
2,5,3,1,3,63,28,2,3,5,5,5,5,5,4,4,5,4,4,5,4,4,4,4,4,4,4
2,5,3,1,6,57,20,2,3,1,3,2,2,4,4,5,3,4,5,5,5,3,3,3,3,3,3
1,5,3,3,4,50,3,2,4,4,4,3,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3
2,5,2,2,3,41,28,2,4,4,4,3,3,3,3,3,3,1,1,4,4,4,2,3,3,4,5
2,5,3,1,6,120,10,2,3,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3
1,1,4,2,3,90,12,2,4,4,4,4,3,3,3,3,3,3,4,3,3,4,4,4,4,4,3
2,5,2,1,2,50,30,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
2,5,2,1,4,80,23,2,4,4,4,4,3,3,3,3,1,1,3,4,4,4,4,4,4,4,4
2,5,3,2,4,80,20,2,3,3,3,3,3,3,3,3,3,1,2,2,3,3,3,3,3,3,2
2,5,3,1,5,50,30,2,3,3,3,2,4,1,4,4,1,1,1,3,4,4,4,4,4,4,4
1,5,2,1,2,72,30,2,2,1,2,2,3,2,1,2,1,1,2,2,3,3,3,3,2,3,4
2,5,3,1,2,55,20,2,1,1,1,2,3,3,3,3,1,1,3,1,2,2,3,3,3,2,3
1,5,3,2,5,50,27,2,3,3,3,3,4,2,3,3,2,2,2,3,4,3,3,3,3,3,4
2,5,2,2,1,55,8,2,3,4,3,3,4,3,3,4,2,2,2,3,3,2,3,3,3,3,4
1,5,3,1,1,45,30,2,3,4,3,3,3,3,1,3,1,1,1,3,1,4,3,3,3,3,3
2,5,2,1,5,47,30,2,3,3,3,3,1,2,1,2,3,1,4,4,3,4,4,43,5,5,5
1,1,1,2,2,44,30,2,3,3,4,2,2,3,3,4,2,3,3,3,4,4,4,4,4,4,5
2,1,4,1,4,86,10,2,5,5,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4
2,1,4,2,4,102,41,2,4,4,4,4,4,4,4,4,2,2,2,3,3,4,4,3,3,3,3
2,5,4,2,5,71,62,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,4,4,4,4
2,5,2,3,3,70,53,2,3,3,3,2,1,1,1,4,4,1,4,4,3,3,3,3,3,3,3
1,1,6,5,2,90,4,2,3,3,3,3,3,3,3,3,2,2,3,3,3,4,4,3,3,3,4
1,1,3,2,3,88,19,2,5,5,5,5,5,3,2,5,2,2,4,5,5,5,5,5,5,5,5
1,1,6,1,4,88,2,2,4,4,4,4,4,4,4,4,4,3,3,4,5,4,4,4,5,5,5
2,1,5,2,2,130,15,2,4,4,4,1,4,4,4,4,4,3,3,3,3,4,5,5,5,5,5
1,1,5,3,3,83,20,2,4,4,4,4,3,3,3,3,2,2,2,2,3,4,4,4,4,4,4
1,1,2,2,2,110,20,2,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,2,4
1,1,3,3,3,87,19,2,5,5,5,5,5,3,1,4,5,1,4,5,4,5,5,5,5,5,5
1,5,5,3,3,120,24,2,2,3,3,2,3,3,2,4,1,1,1,3,2,3,3,3,4,4,5
1,1,5,3,2,130,18,2,4,4,5,5,5,3,4,5,3,3,3,3,3,5,5,5,5,5,5
2,5,2,1,3,84,16,2,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3
1,5,5,2,3,84,16,2,5,5,5,5,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4
1,1,2,2,3,90,21,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3
2,1,5,2,3,86,13,2,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,5
2,5,4,2,3,86,20,2,4,3,4,4,3,3,4,4,4,3,3,1,4,4,4,4,4,4,5
1,1,5,2,2,87,12,2,5,4,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4
1,1,5,2,3,90,20,2,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4
1,2,5,2,3,85,15,2,5,5,5,5,5,5,5,5,4,4,5,5,4,5,4,5,4,5,4
1,1,2,2,5,94,18,2,4,4,4,4,4,3,3,4,3,3,3,3,4,4,4,3,4,4,2
1,1,6,6,3,104,3,2,3,2,2,1,3,3,1,1,3,1,2,1,1,3,1,3,2,3,3
1,1,5,3,3,102,20,2,5,3,4,3,3,2,2,2,2,2,2,3,3,4,3,4,4,4,4
1,3,5,3,3,120,2,2,3,2,4,3,3,4,3,5,4,3,3,5,5,4,4,5,4,3,4
1,1,5,3,2,100,3,2,4,3,4,2,2,4,3,2,4,3,2,3,4,4,5,4,4,2,2
1,2,1,3,2,120,5,2,4,3,5,4,3,5,4,4,5,4,5,3,5,4,5,4,5,4,1
2,5,4,2,3,82,2,2,3,3,3,3,3,3,3,3,3,4,3,2,3,2,3,2,3,2,3
2,1,5,1,2,84,2,2,5,4,4,4,3,4,4,4,5,3,3,4,3,4,4,4,4,4,4
1,2,5,2,3,140,10,2,4,2,3,3,3,3,2,2,4,4,4,4,3,3,4,4,4,4,1
2,3,3,2,3,140,2,2,4,4,5,4,4,3,2,3,3,3,4,3,3,5,4,4,5,4,2
2,3,5,2,4,160,5,2,4,3,3,2,2,3,3,3,4,4,3,3,4,3,3,4,3,3,2
1,2,5,4,3,130,5,2,5,3,4,2,5,3,2,4,4,5,3,3,3,5,3,4,3,2,4
